Year,Country1,Country2,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month,StartDay,StartMonth,EndDay,EndMonth,DisputesAfter,DisputesBefore
1958,Yugoslavia,Scotland,1,0,0,0,0,3,1,1,8,6,8,6,29,6,0,0
1958,Yugoslavia,France,1,0,0,0,0,3,3,2,11,6,8,6,29,6,0,0
1958,Paraguay,Scotland,1,0,0,0,0,3,3,2,11,6,8,6,29,6,0,0
1958,France,Scotland,1,0,0,0,0,3,2,1,15,6,8,6,29,6,0,0
1958,Paraguay,Yugoslavia,1,0,0,0,0,3,3,3,15,6,8,6,29,6,0,0
1958,Sweden,Mexico,1,0,0,0,0,3,3,0,8,6,8,6,29,6,0,0
1958,Hungary,Wales,1,0,0,0,0,3,1,1,8,6,8,6,29,6,0,0
1958,Mexico,Wales,1,0,0,0,0,3,1,1,11,6,8,6,29,6,0,0
1958,Sweden,Hungary,1,0,0,0,0,3,2,1,12,6,8,6,29,6,0,0
1958,Sweden,Wales,1,0,0,0,0,3,0,0,15,6,8,6,29,6,0,0
1958,Hungary,Mexico,1,0,0,0,0,3,4,0,15,6,8,6,29,6,0,0
1958,Brazil,Austria,1,0,0,0,0,3,3,0,8,6,8,6,29,6,0,0
1958,Soviet Union,United Kingdom,1,1,0,0,0,3,1,0,8,6,8,6,29,6,2,1
1958,Brazil,United Kingdom,1,0,0,0,0,3,0,0,11,6,8,6,29,6,0,0
1958,Soviet Union,Austria,1,0,0,0,0,3,2,0,11,6,8,6,29,6,0,0
1958,United Kingdom,Austria,1,0,0,0,0,3,2,2,15,6,8,6,29,6,0,0
1958,Brazil,Soviet Union,1,0,0,0,0,3,2,0,15,6,8,6,29,6,1,0
1958,Brazil,Wales,0,0,1,0,0,3,1,0,19,6,8,6,29,6,0,0
1958,France,Northern Ireland,0,0,1,0,0,3,4,0,19,6,8,6,29,6,0,0
1958,Sweden,Soviet Union,0,0,1,0,0,3,2,0,19,6,8,6,29,6,0,0
1958,West Germany,Yugoslavia,0,0,1,0,0,3,1,0,19,6,8,6,29,6,0,0
1958,Brazil,France,0,0,0,1,0,3,5,2,24,6,8,6,29,6,0,0
1958,Sweden,West Germany,0,0,0,1,0,3,3,1,24,6,8,6,29,6,0,0
1958,Brazil,Sweden,0,0,0,0,1,3,5,2,29,6,8,6,29,6,0,0
1958,France,West Germany,0,0,0,0,1,3,6,3,28,6,8,6,29,6,0,0
1962,Uruguay,Colombia,1,0,0,0,0,3,2,1,30,5,30,5,17,6,0,0
1962,Soviet Union,Yugoslavia,1,0,0,0,0,3,2,0,31,5,30,5,17,6,0,0
1962,Yugoslavia,Uruguay,1,0,0,0,0,3,3,1,2,6,30,5,17,6,0,0
